Ob,Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Median Income,poverty_rate,percent_completed_hs
1,AK,Adak city,19.6,4,5.5,52.5,8.9,78500,39.3,93.4
2,AK,Akhiok city,8.5,1.4,50.7,1.4,11.3,26250,40.5,62.5
3,AK,Akiachak CDP,3.5,0.2,95.1,0.2,0.2,38750,26.1,76.7
4,AK,Akiak city,5.2,0,92.8,0,0.3,42000,31.3,81.3
5,AK,Akutan city,23.3,17.9,5.5,43.3,20.8,24750,16.1,73
6,AK,Alakanuk city,2.1,0,95,0.4,0,32917,44.6,65.4
7,AK,Alatna CDP,2.7,0,97.3,0,0,-,0,100
8,AK,Alcan Border CDP,90.9,0,0,0,9.1,-,0,100
9,AK,Aleknagik city,15.1,0,75.8,0,0,41875,11.6,84
10,AK,Aleneva CDP,100,0,0,0,0,-,0,0
11,AK,Allakaket city,1,0,95.2,0,0,26500,9.1,72.9
12,AK,Ambler city,11.2,0.4,84.5,0,0,42344,21.4,78.7
13,AK,Anaktuvuk Pass city,7.1,0.3,83.3,0,2.2,66250,26.3,80.9
14,AK,Anchor Point CDP,90.2,0.3,3.8,0.9,2.2,51591,10.1,93.8
15,AK,Anchorage municipality,66,5.6,7.9,8.1,7.6,78326,8.2,93
16,AK,Anderson city,87.8,1.6,2.8,0.8,3.7,87708,0,98.6
17,AK,Angoon city,10.5,0.9,75.8,0,7.8,32750,17.8,86.7
18,AK,Aniak city,20.4,0.2,69.5,0,1.2,60500,19,83.8
19,AK,Anvik city,3.5,0,92.9,0,0,26563,16.3,94.2
20,AK,Arctic Village CDP,4.6,0,88.8,0,0,26250,36.6,75
21,AK,Atka city,4.9,0,95.1,0,0,50625,1.5,89.5
22,AK,Atmautluak CDP,1.4,0.7,97.8,0,0,50625,25.6,70.2
23,AK,Atqasuk city,6.9,0,92.3,0,0,52500,23.3,75.9
24,AK,Attu Station CDP,90.5,0,4.8,0,19,-,-,100
25,AK,Badger CDP,83.8,2.7,4.9,1.7,4.5,75917,4.5,96.2
26,AK,Barrow city,16.9,1,61.2,9.1,3.1,76902,11.7,84.6
27,AK,Bear Creek CDP,80.9,0.6,10.7,1.6,1.8,81458,12.7,92.5
28,AK,Beaver CDP,1.2,0,97.6,0,4.8,24000,30,69.8
29,AK,Beluga CDP,90,0,10,0,0,(X),33.3,66.7
