Ob,city,manner_of_death,armed,age,gender,race,state,signs_of_mental_illness,threat_level,flee,body_camera,NumberOfSubjects,SubjectArmed,SubjectRace,SubjectGender,SubjectAge,Numbershots,Numberofofficers,OfficerRace,OfficerGender
1,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,N,L,U,U,3,1,W,M
2,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,H,M
3,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,U,M,U,3,3,U;H;W,M;M;M
4,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,W,M,U,3,2,W;H,M;M
5,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,W,M,U,3,1,W,M
6,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,L,M,U,3,3,H;W;W,M;M;M
7,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,B,M,U,3,1,W,M
8,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,N,W,M,U,3,1,H,M
9,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,N,U,U,U,3,2,W;W,M;M
10,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,Y,L,M,U,3,1,U,M
11,Albuquerque,shot,shovel,52,M,H,NM,TRUE,other,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
12,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,U,U,3,1,W,M
13,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,N,U,M,U,3,1,W,M
14,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
15,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,Y,W,M,U,3,1,W,M
16,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,Y,L,M,U,3,2,W;W,F;M
17,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,2,H;U,M;M
18,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,N,W,M,U,3,1,W,M
19,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,F,U,3,1,W,M
20,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,N,L,M,U,3,2,W;W,M;M
21,Albuquerque,shot,gun,NA,M,NA,NM,FALSE,attack,Not fleeing,FALSE,1,Y,U,M,U,3,1,W,M
22,Albuquerque,shot,gun,19,M,H,NM,TRUE,attack,Foot,FALSE,1,Y,L,M,U,3,1,W,M
23,Albuquerque,shot,gun,19,M,H,NM,TRUE,attack,Foot,FALSE,1,Y,W,M,U,3,1,W,M
24,Albuquerque,shot,gun,19,M,H,NM,TRUE,attack,Foot,FALSE,1,Y,L,M,U,3,1,W,M
25,Albuquerque,shot,gun,19,M,H,NM,TRUE,attack,Foot,FALSE,1,Y,U,U,U,3,4,W;W;H;H,M;M;M;M
26,Albuquerque,shot,gun,19,M,H,NM,TRUE,attack,Foot,FALSE,1,Y,L,M,U,3,1,W,M
27,Albuquerque,shot,gun,19,M,H,NM,TRUE,attack,Foot,FALSE,1,N,L,M,U,3,1,W,M
28,Albuquerque,shot,gun,19,M,H,NM,TRUE,attack,Foot,FALSE,1,Y,U,M,U,3,1,H,M
29,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,1,W,M
30,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,N,L,M,U,3,1,H,M
31,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,U,M,U,3,3,U;H;W,M;M;M
32,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,U,M,U,3,1,W,M
33,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,2,W;W,F;M
34,Albuquerque,shot,unarmed,25,M,W,NM,FALSE,other,Car,FALSE,1,Y,L,M,U,3,1,W,M
